#,Column,Non-Null,Count,Dtype
0,Cr,non-null,1428317,object
1,Mt,non-null,1428317,int64
2,Ewltp (g/km),non-null,1428317,int64
3,W (mm),non-null,1428317,int64
4,At1 (mm),non-null,1428317,int64
5,Ft,non-null,1428317,object
6,Fm,non-null,1428317,object
7,ep (KW),non-null,1428317,int64
