#,Column,Non-Null,Count,Dtype
0,Mt,non-null,82284,int64
1,Ewltp,non-null,82284,int64
2,W,non-null,82284,int64
3,At1,non-null,82284,int64
4,ep,non-null,82284,int64
5,Cr_M1G,non-null,82284,int32
6,Ft_D_E,non-null,82284,int32
7,Ft_E85,non-null,82284,int32
8,Ft_LPG,non-null,82284,int32
9,Ft_NG,non-null,82284,int32
10,Ft_PETROL,non-null,82284,int32
11,Ft_P_E,non-null,82284,int32
12,Fm_F,non-null,82284,int32
13,Fm_H,non-null,82284,int32
14,Fm_M,non-null,82284,int32
15,Fm_P,non-null,82284,int32
